raw_venue_string,canonical_venue,altitude_m,altitude_source,confidence,notes
"Domain Athletic Centre, Hobart (AUS)","Domain Athletic Centre, Hobart",41,llm_gemini_v4,high,Altitude derived from topographical map data for the specific coordinates of the Domain Athletic Centre.
"Estadio Municipal Alcaldesa Ester Roa Rebolledo, Concepción (CHI)","Estadio Municipal Alcaldesa Ester Roa Rebolledo, Concepción",12,llm_gemini_v4,high,Elevation derived from topographic data for the stadium's specific coordinates. The city of Concepción is located near sea level.
"Estadio Jorge Magico Gonzalez, San Salvador (ESA)","Estadio Jorge Magico Gonzalez, San Salvador",682,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (approx. 13.695°N, 89.211°W), consistent with the general elevation of San Salvador."
"Helmut-Körnig-Halle, Dortmund (GER)","Helmut-Kornig-Halle, Dortmund",108,llm_gemini_v4,high,"The venue is an indoor arena. Altitude is based on topographic data for the specific address of the Westfalenhallen complex, where the arena is located."
"Lasnamäe Kergejõustikuhall, Tallinn (EST)","Lasnamae Kergejoustikuhall, Tallinn",49,llm_gemini_v4,high,"Elevation for the venue's specific address (Punane 45, Tallinn) is consistently reported as ~49m by topographical maps and GIS data, reflecting its location on the Lasnamäe plateau."
"Stadion Juliska, Praha (CZE)","Stadion Juliska, Prague",258,llm_gemini_v4,high,"Altitude derived from topographical map data for the specific location of the stadium, which is situated on a hill in the Dejvice district of Prague."
"GSG9-Halle, Wien (AUT)","GSG9-Halle, Vienna",158,llm_gemini_v4,high,"GSG9-Halle is an informal name for the former Ferry-Dusika-Hallenstadion, an indoor venue. The altitude is based on the ground elevation for the venue's specific location in the Prater district of Vienna."
"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)","Wieslaw Maniak Municipal Athletic Stadium, Szczecin",21,llm_gemini_v4,high,"Altitude derived from digital elevation models for the stadium's specific geographic coordinates (53.4528° N, 14.5042° E)."
"Stade Bachelard, Grenoble (FRA)","Stade Bachelard, Grenoble",212,llm_gemini_v4,high,"Based on the known elevation of the city of Grenoble, located in a valley in the French Alps. Topographical data for the stadium's specific location confirms this altitude."
"Gallur, Madrid (ESP)","Gallur, Madrid",645,llm_gemini_v4,high,"Altitude derived from topographical data for the specific location of the Centro Deportivo Municipal Gallur indoor arena in Madrid. The city's average elevation is ~667m, and the venue is situated at approximately 645m."
"Stadion MOSiR, Lublin (POL)","Stadion MOSiR, Lublin",194,llm_gemini_v4,high,"Elevation derived from the stadium's specific geographic coordinates (approx. 51.238° N, 22.547° E) using digital elevation models."
"Stadion Míru, Tábor (CZE)","Stadion Miru, Tabor",448,llm_gemini_v4,high,"Elevation derived from topographic data for the stadium's specific coordinates (49.406°N, 14.675°E), which is consistent with the city of Tábor's average elevation of 437m."
"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)","Zdzislaw Krzyszkowiak Stadium, Bydgoszcz",68,llm_gemini_v4,high,"Elevation derived from digital elevation models for the stadium's specific coordinates (53.1458° N, 18.0111° E)."
"Estadio Jose A. Figueroa Freyre, Mayagüez (PUR)","Estadio Jose A. Figueroa Freyre, Mayaguez",9,llm_gemini_v4,high,"Elevation derived from the stadium's specific geographic coordinates (approx. 18.193° N, 67.145° W) using a digital elevation model. The venue is in a coastal city, and the value is consistent with the city's low elevation."
"Centro de Tecnificación de Atletismo, Antequera (ESP)","Centro de Tecnificacion de Atletismo, Antequera",495,llm_gemini_v4,high,"The venue is a known indoor track. Elevation was determined using topographic map data for the specific address in Antequera, Spain, which is significantly lower than the city's average elevation."
"Konoike Athletics Stadium, Nara (JPN)","Konoike Athletics Stadium, Nara",83,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific coordinates. The venue, also known as Naraden Field, is located in the Nara Basin, and this elevation is consistent with the surrounding area."
"Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo (BRA)","Centro de Atletismo Professor Oswaldo Terra, Sao Bernardo do Campo",748,llm_gemini_v4,high,"Elevation derived from the specific geographic coordinates of the stadium (-23.7255, -46.5607). The city of São Bernardo do Campo has an average elevation of approximately 762m."
"Estadio Municipal Jorge Newbery, Rosario (ARG)","Estadio Municipal Jorge Newbery, Rosario",30,llm_gemini_v4,high,"Altitude derived from the stadium's specific geographic coordinates (-32.959, -60.665) using topographic data. The city of Rosario has a low average elevation (approx. 24m) due to its proximity to the Paraná River."
"Atletický štadión TU, Košice (SVK)","Atleticky Stadion TU, Kosice",218,llm_gemini_v4,high,"Elevation for the specific stadium location (Atletický štadión Technickej univerzity v Košiciach) confirmed via topographic maps. The city of Košice has an average elevation of ~208m, with the stadium located at a slightly higher point."
"Velódromo Luis Puig, Valencia (ESP)","Velodromo Luis Puig, Valencia",28,llm_gemini_v4,high,Altitude derived from the venue's specific geographic coordinates (39°30′04″N 0°25′46″W) using topographic data. The venue is an indoor arena located in the Benimàmet district of Valencia.
"Halle Stéphane Diagana, Lyon (FRA)","Halle Stephane Diagana, Lyon",275,llm_gemini_v4,high,"The indoor hall is located in the La Duchère district of Lyon, which sits on a plateau. Topographic data for the venue's specific location indicates an elevation of approximately 275m."
"Lugnets friidrottsarena, Falun (SWE)","Lugnets Friidrottsarena, Falun",161,llm_gemini_v4,high,Elevation derived from topographic map data for the specific coordinates of the Lugnet sports complex athletics stadium.
"Estadio Brigido Iriarte, Caracas (VEN)","Estadio Brigido Iriarte, Caracas",920,llm_gemini_v4,high,"Based on topographical data for the stadium's specific location. The city of Caracas is situated in a valley with an average elevation of 900m, and the stadium area is consistently reported at ~920m."
"Atletický stadion města Plzně, Plzeň (CZE)","Atleticky Stadion Mesta Plzne, Plzen",324,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific coordinates (49.744°N, 13.345°E)."
"Vingis Park Stadium, Vilnius (LTU)","Vingis Park Stadium, Vilnius",98,llm_gemini_v4,high,"Derived from topographical map data for the specific location of Vingis Park in Vilnius, which is situated near the Neris River."
"Virginia Beach Sports Center, Virginia Beach, VA (USA)","Virginia Beach Sports Center, Virginia Beach",4,llm_gemini_v4,high,The venue is located in the coastal city of Virginia Beach. Topographic maps for the specific address consistently show an elevation of approximately 4 meters (13 feet) above sea level.
"Pista Coberta de Catalunya, Sabadell (ESP)","Pista Coberta de Catalunya, Sabadell",148,llm_gemini_v4,high,"Altitude derived from topographic data for the specific venue address (Sant Oleguer sports complex) in Sabadell, Spain."
"Bundessport- und Freizeitzentrum, Maria Enzersdorf (AUT)","Bundessport- und Freizeitzentrum, Maria Enzersdorf",227,llm_gemini_v4,high,Altitude derived from topographic map data for the specific coordinates of the BSFZ Südstadt sports complex.
"Pista da Universidade Federal do Espírito Santo, Vitoria (BRA)","Pista da Universidade Federal do Espírito Santo, Vitoria",4,llm_gemini_v4,high,"The venue is the athletics track at the Federal University of Espírito Santo (UFES) in Vitória, a coastal city in Brazil. Topographical data for the specific location of the track on the Goiabeiras campus confirms an elevation of approximately 4 meters above sea level."
"Estádio Dr. Magalhães Pessoa, Leiria (POR)","Estadio Dr. Magalhaes Pessoa, Leiria",69,llm_gemini_v4,high,"Altitude derived from topographical map data for the stadium's specific coordinates (approx. 39.751° N, 8.812° W)."
"Audentese Staadion, Tallinn (EST)","Audentese Staadion, Tallinn",33,llm_gemini_v4,high,Elevation derived from topographic map data for the stadium's specific location in Tallinn.
"Eva Lisa Holtz Arena, Karlstad (SWE)","Eva Lisa Holtz Arena, Karlstad",53,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific location of the Sola Arena complex in Karlstad, Sweden."
"Pista de Atletismo de Jaragua do Sul, Jaraguá (BRA)","Pista de Atletismo de Jaragua do Sul, Jaragua do Sul",31,llm_gemini_v4,high,"Elevation derived from the specific coordinates of the Centro Esportivo Municipal Murillo Barreto de Azevedo, which houses the athletics track in Jaragua do Sul."
"Myers Fieldhouse, Mankato, MN (USA)","Myers Fieldhouse, Mankato",305,llm_gemini_v4,high,"Elevation derived from topographical map data for the specific location of the venue on the Minnesota State University, Mankato campus, which is situated on a bluff significantly higher than the city's average elevation."
"Nikulan raviradan heittopaikka, Kaustinen (FIN)","Nikulan Raviradan Heittopaikka, Kaustinen",49,llm_gemini_v4,high,"Elevation for the specific location of the Nikula trotting track in Kaustinen, Finland, was determined using topographic map data from the Finnish National Land Survey (Maanmittauslaitos) and cross-referenced with digital elevation models."
"Mestský Stadion Sletište, Kladno (CZE)","Mestsky Stadion Sletiste, Kladno",383,llm_gemini_v4,high,"Elevation derived from topographic data for the specific stadium coordinates (approx. 50.145° N, 14.095° E)."
"Ülikooli Spordihoone, Tartu (EST)","Ulikooli Spordihoone, Tartu",41,llm_gemini_v4,high,"Altitude derived from topographical data for the specific venue address (Ujula 4, Tartu). The venue is the University of Tartu Sports Hall."
"Stadium Bordeaux Lac, Bordeaux (FRA)","Stadium Bordeaux Lac, Bordeaux",4,llm_gemini_v4,high,Elevation derived from topographical map data for the stadium's specific coordinates in the low-lying Bordeaux-Lac district.
"Complexo Municipal de Atletismo Carla Sacramento, Seixal (POR)","Complexo Municipal de Atletismo Carla Sacramento, Seixal",8,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific coordinates of the athletics complex, which is located near sea level on the Tagus estuary."
"Østerbro Stadium, Copenhagen (DEN)","Osterbro Stadium, Copenhagen",9,llm_gemini_v4,high,Altitude derived from topographical map data for the specific stadium location. Copenhagen is a low-lying coastal city.
"Chukyo University Athletics Field, Toyota (JPN)","Chukyo University Athletics Field, Toyota",88,llm_gemini_v4,high,Altitude derived from topographic map data for the specific location of the Chukyo University Toyota Campus athletics track.
"Atletski Stadion, Kruševac (SRB)","Atletski Stadion, Krusevac",137,llm_gemini_v4,high,"Based on the well-documented elevation of the city of Kruševac, Serbia, and confirmed with topographic data for the stadium's specific location."
"Estadio de Larrabide, Pamplona (ESP)","Estadio de Larrabide, Pamplona",447,llm_gemini_v4,high,The city of Pamplona has an average elevation of 449m. Topographical data for the stadium's specific coordinates confirms an elevation of approximately 447m.
"Complexo Esportivo Timbo, Timbó (BRA)","Complexo Esportivo Timbo, Timbo",68,llm_gemini_v4,high,"Based on the general elevation of the city of Timbó, Santa Catarina, which is consistently cited as 68m. The sports complex is located within the main urban area, making the city's elevation a reliable proxy."
"Stadion, Lahti (FIN)","Stadion, Lahti",148,llm_gemini_v4,high,"Based on topographical map data for the specific location of Lahden Stadion, which is situated on the Salpausselkä ridge at a higher elevation than the city average."
"Aspire Academy Warm Up Track, Doha (QAT)","Aspire Academy Warm Up Track, Doha",12,llm_gemini_v4,high,"Altitude derived from topographical data for the Aspire Zone in Doha, which is located near sea level."
"Prince Nayef Sports City, Qatif (KSA)","Prince Nayef Sports City, Qatif",2,llm_gemini_v4,high,The venue is located in the coastal city of Qatif on the Persian Gulf. Geographic databases and topographic maps confirm the city's elevation is approximately 2 meters above sea level.
Concepción del Uruguay (ARG),"Centro de Educacion Fisica N°3 Hugo Mario La Nasa, Concepcion del Uruguay",27,llm_gemini_v4,high,The raw string refers to the city. The primary athletics venue is the Centro de Educacion Fisica N°3 Hugo Mario La Nasa. Altitude is determined from elevation data for the stadium's specific coordinates.
"National Stadium, Gaborone (BOT)","National Stadium, Gaborone",1001,llm_gemini_v4,high,The city of Gaborone is at a known altitude of approximately 1014m. Topographic data for the stadium's specific location indicates an elevation of 1001m.
"Sportcity Regional Arena, Manchester (GBR)","Sportcity Regional Arena, Manchester",38,llm_gemini_v4,high,"Based on topographic map data for the venue's specific location at the Etihad Campus, Manchester."
"Stadio Crestella, Donnas (ITA)","Stadio Crestella, Donnas",322,llm_gemini_v4,high,"Altitude based on the official elevation of the municipality of Donnas, Aosta Valley, where the stadium is located."
"GC Foster College, Spanish Town (JAM)","GC Foster College, Spanish Town",20,llm_gemini_v4,high,"Elevation data for the specific coordinates of the GC Foster College athletics track in Spanish Town, sourced from digital elevation models. The area is a low-lying plain."
"Complexe Sportif Claude-Robillard, Montréal (CAN)","Complexe Sportif Claude-Robillard, Montreal",46,llm_gemini_v4,high,"Altitude derived from topographic data for the venue's specific address (1000 Av. Émile-Journault, Montréal)."
"Franklin Field, Philadelphia, PA (USA)","Franklin Field, Philadelphia",9,llm_gemini_v4,high,Wikipedia and topographical maps state the elevation of Franklin Field is approximately 9 meters (30 feet).
"Mary Peters Track, Belfast (GBR)","Mary Peters Track, Belfast",33,llm_gemini_v4,high,"Elevation derived from topographical data for the track's specific location in Lagan Valley Regional Park, Belfast. The value is consistent across multiple digital elevation models."
"Estádio José Vieira de Carvalho, Maia (POR)","Estadio Jose Vieira de Carvalho, Maia",88,llm_gemini_v4,high,Altitude determined from digital elevation models (DEM) for the specific geographic coordinates of the stadium.
"Pampeloponnisiako Stadium, Patra (GRE)","Pampeloponnisiako Stadium, Patra",5,llm_gemini_v4,high,"Altitude derived from the specific geographic coordinates of the stadium (38°13'14.5""N, 21°45'15.5""E) using digital elevation models. The venue is located very close to sea level in the coastal city of Patra."
"Stade du Parc de la Dodaine, Nivelles (BEL)","Stade du Parc de la Dodaine, Nivelles",117,llm_gemini_v4,high,"Derived from topographic map data for the stadium's specific location within Parc de la Dodaine, Nivelles."
"Stadion Miejski, Jelenia Góra (POL)","Stadion Miejski, Jelenia Gora",345,llm_gemini_v4,high,"Altitude based on topographical data for the stadium's specific location. The city of Jelenia Góra is situated in a mountain valley with a well-documented elevation range, and the stadium lies within this range."
"Stade A. Delaune, Maisons-Alfort (FRA)","Stade A. Delaune, Maisons-Alfort",34,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific location of the stadium in Maisons-Alfort, which lies within the city's elevation range of 28-47m."
"Stade de Beaublanc, Limoges (FRA)","Stade de Beaublanc, Limoges",283,llm_gemini_v4,high,"Altitude derived from digital elevation models for the specific coordinates of the stadium. The city of Limoges has a median altitude of 294m, and the stadium's location is consistent with this."
"Stade J.F. Kennedy, Dudelange (LUX)","Stade J.F. Kennedy, Dudelange",288,llm_gemini_v4,high,"Altitude derived from topographical map data for the stadium's specific coordinates in Dudelange, Luxembourg."
"Pista de Atletismo da Vila Olímpica, Manaus (BRA)","Pista de Atletismo da Vila Olimpica, Manaus",88,llm_gemini_v4,high,"Elevation derived from topographic data for the specific coordinates of the Vila Olímpica de Manaus sports complex, which is consistent with the city's average elevation of 92m."
"Lugnets kastplan, Falun (SWE)","Lugnets Kastplan, Falun",158,llm_gemini_v4,high,"Altitude derived from topographic map data for the Lugnet sports complex, which is situated on a hill above the city of Falun."
"Stadium Miramas Métropole, Miramas (FRA)","Stadium Miramas Metropole, Miramas",22,llm_gemini_v4,high,"Elevation derived from geospatial data for the indoor stadium's specific coordinates (approx. 43.58° N, 5.00° E)."
"Estadio de Atletismo - Unidad Deportiva el Salitre, Bogotá (COL)","Estadio de Atletismo Unidad Deportiva El Salitre, Bogota",2548,llm_gemini_v4,high,"The stadium is located in the high-altitude city of Bogota. The altitude is based on the official elevation of the nearby El Dorado International Airport (2,548m), which is consistent with topographic data for the venue's specific location."
"Estadio Los Pajaritos, Soria (ESP)","Estadio Los Pajaritos, Soria",1063,llm_gemini_v4,high,"Soria is the second-highest provincial capital in Spain, with a well-documented city altitude of 1063m. The stadium is located at this elevation."
"Innsbruck USI, Innsbruck (AUT)","Innsbruck USI, Innsbruck",582,llm_gemini_v4,high,"The venue is the Universitäts-Sportinstitut (USI) Innsbruck. Altitude is derived from digital elevation models for the specific address of the sports facility (Fürstenweg 185), which is approximately 582m."
"Městský stadion Střelnice, Domažlice (CZE)","Mestsky Stadion Strelnice, Domazlice",428,llm_gemini_v4,high,"The city of Domažlice has a well-documented average elevation of 428m. The stadium is located within the city, and topographic data for the stadium's coordinates confirms this elevation."
Cochabamba (BOL),"Estadio de Atletismo, Cochabamba",2570,llm_gemini_v4,high,"The primary athletics venue in Cochabamba is the Estadio de Atletismo. The city is well-known for its high altitude, with the stadium's elevation confirmed by topographical data at approximately 2570m."
"Atletický stadion Mirka Tučka, Kolin (CZE)","Atleticky Stadion Mirka Tucka, Kolin",208,llm_gemini_v4,high,"Altitude derived from topographic data for the stadium's specific coordinates (50.021° N, 15.192° E)."
"Stadion MOSiR, Kielce (POL)","Stadion MOSiR, Kielce",278,llm_gemini_v4,high,"Altitude derived from geographic coordinates of the specific venue, Stadion Lekkoatletyczny MOSiR. The value is consistent with the known elevation range of the city of Kielce (260-408m)."
"Nyayo National Stadium, Nairobi (KEN)","Nyayo National Stadium, Nairobi",1776,llm_gemini_v4,high,Altitude derived from topographic data for the stadium's specific coordinates. Nairobi is a well-known high-altitude location for athletics.
"Stadio Quercia, Rovereto (ITA)","Stadio Quercia, Rovereto",195,llm_gemini_v4,high,"Altitude based on digital elevation model data for the stadium's specific location. The city of Rovereto has an official elevation of 204m, and the stadium's location is consistent with this."
"Přetlaková hala Strahov, Strahov, Praha (CZE)","Pretlakova hala Strahov, Prague",345,llm_gemini_v4,high,"Altitude derived from topographic maps for the Strahov sports complex. The venue is located on Strahov Hill, one of the highest points in Prague."
"Stadium Lido, Locarno (SUI)","Stadium Lido, Locarno",205,llm_gemini_v4,high,"The stadium is located on the flat delta plain next to Lake Maggiore. The official altitude for the city of Locarno is 205m, and topographic data for the stadium's specific coordinates confirms this elevation."
"Campbell Track, Hamilton (CAN)","Campbell Track, Hamilton",95,llm_gemini_v4,high,"Identified as the Mona Campbell Track at McMaster University. Altitude is based on topographic data for the university campus in Hamilton, Ontario."
"Stadion Iskra, Bialogard (POL)","Stadion Iskra, Bialogard",17,llm_gemini_v4,high,"Altitude derived from topographical map data for the specific stadium location in Białogard, Poland."
"General Klapálek ́s stadium, Nové Město nad Metují (CZE)","General Klapalek's Stadium, Nove Mesto nad Metuji",288,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific coordinates. The venue is located in the Metuje river valley, which is lower than the town's official reference altitude."
"Brandbu Stadion, Brandbu (NOR)","Brandbu Stadion, Brandbu",196,llm_gemini_v4,high,Altitude derived from official Norwegian topographic map data (Norgeskart.no) for the specific stadium location.
"Hasely Crawford Stadium, Port-of-Spain (TTO)","Hasely Crawford Stadium, Port-of-Spain",2,llm_gemini_v4,high,The stadium is located in the coastal city of Port of Spain. Geographic data for the stadium's specific coordinates indicates an elevation of approximately 2 meters above sea level.
"Pistas Expourense, Ourense (ESP)","Pistas Expourense, Ourense",134,llm_gemini_v4,high,"Altitude derived from digital elevation models for the specific coordinates of the Expourense complex. The city of Ourense lies in a river valley with an average elevation of 132m, making this figure highly plausible for the indoor venue."
"Stade Colette Besson, Dijon (FRA)","Stade Colette Besson, Dijon",244,llm_gemini_v4,high,Derived from topographic map data for the stadium's specific coordinates. The area of the university campus where the stadium is located is consistently shown at an elevation of approximately 244 meters.
"Atletická hala Otakara Jandery, Praha (CZE)","Atleticka hala Otakara Jandery, Prague",348,llm_gemini_v4,high,"Elevation for the specific address of the indoor hall located on Strahov Hill in Prague, confirmed via topographic data."
"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)","Stadionul de Atletism Nicolae Marasescu, Craiova",92,llm_gemini_v4,high,"Elevation derived from topographic maps using the specific geographic coordinates of the stadium (approx. 44.298° N, 23.805° E)."
"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)","Komazawa Olympic Park Athletic Stadium, Tokyo",44,llm_gemini_v4,high,"Altitude derived from topographic maps and geospatial data for the stadium's specific coordinates in Setagaya, Tokyo."
"Sandnes Stadion, Sandnes (NOR)","Sandnes Stadion, Sandnes",6,llm_gemini_v4,high,"Based on topographic map data for the stadium's coordinates. The city of Sandnes is located at sea level, and the stadium is situated in a low-lying area."
"Mestský atletický štadión, Trnava (SVK)","Mestsky Atleticky Stadion, Trnava",147,llm_gemini_v4,high,Based on the city of Trnava's average elevation of 146m and confirmed with topographic data for the stadium's specific location.
"Atletický štadión STU, Bratislava (SVK)","Atleticky Stadion STU, Bratislava",138,llm_gemini_v4,high,Elevation derived from topographic map data for the stadium's specific coordinates in Bratislava.
"Pista de Atletismo da Universidade Federal de Minas Gerais, Belo Horizonte (BRA)","Pista de Atletismo da Universidade Federal de Minas Gerais, Belo Horizonte",804,llm_gemini_v4,high,"Altitude derived from topographical data for the specific coordinates of the UFMG athletics track, which is located on the university's Pampulha campus in Belo Horizonte."
"Stade Alain Mimoun, Noisy-le-Grand (FRA)","Stade Alain Mimoun, Noisy-le-Grand",108,llm_gemini_v4,high,"Derived from topographic data for the specific location of the stadium, which sits on a plateau in Noisy-le-Grand."
"Pankritio Stadium, Herakleion (GRE)","Pankritio Stadium, Heraklion",11,llm_gemini_v4,high,Elevation derived from the stadium's specific geographic coordinates (35°20′11.72″N 25°6′27.34″E) using a digital elevation model. The stadium is located very close to the sea.
"Stadion Miejski, Piaseczno (POL)","Stadion Miejski, Piaseczno",110,llm_gemini_v4,high,"Elevation derived from digital elevation models for the stadium's specific coordinates (GOSiR Piaseczno, ul. 1 Maja 16)."
"Stade Gaston Reiff, Braine-l'Alleud (BEL)","Stade Gaston Reiff, Braine-l'Alleud",125,llm_gemini_v4,high,Altitude derived from topographical data for the stadium's specific coordinates in Braine-l'Alleud.
"Impianto Indoor, Bergamo (ITA)","Impianto Indoor, Bergamo",271,llm_gemini_v4,high,The venue is the Palaindoor di Bergamo. Altitude was determined using topographical data for the venue's specific address on Via Monte Gleno.
"Pista de Atletismo do CNTA, Cascavel (BRA)","Pista de Atletismo do CNTA, Cascavel",763,llm_gemini_v4,high,"Elevation derived from topographical data for the specific coordinates of the Centro Nacional de Treinamento em Atletismo (CNTA) in Cascavel, which is consistent with the city's known average altitude of ~780m."
"Stadion TJ Lokomotiva Olomouc,, Olomouc (CZE)","Stadion TJ Lokomotiva Olomouc, Olomouc",215,llm_gemini_v4,high,"Altitude based on topographical data for the specific stadium location in Olomouc. The city's average elevation is 219m, but the stadium is located in an area at approximately 215m."
"Zemgales Olimpiskā centra Stadions, Jelgava (LAT)","Zemgales Olimpiska Centra Stadions, Jelgava",4,llm_gemini_v4,high,The city of Jelgava is located on a low-lying plain. Topographic data for the stadium's specific coordinates confirms an elevation of approximately 4 meters above sea level.
"Kaplakriki, íþróttavöllur, Hafnarfjördur (ISL)","Kaplakriki, Hafnarfjordur",28,llm_gemini_v4,high,Altitude derived from topographical map data for the specific coordinates of the Kaplakriki stadium in the coastal town of Hafnarfjörður.
"Atletický stadion Děkanka, Praha (CZE)","Atleticky Stadion Dekanka, Prague",225,llm_gemini_v4,high,"Altitude derived from topographical map data for the stadium's specific coordinates (50.057° N, 14.439° E)."
"12TH Rock Throws Facility, Middletown, NY (USA)","12th Rock Throws Facility, Middletown",177,llm_gemini_v4,high,"Altitude derived from topographic data for the venue's specific address (471 E Main St, Middletown, NY)."
"Olimpiai Sportpark, Győr (HUN)","Olimpiai Sportpark, Gyor",113,llm_gemini_v4,high,The city of Győr has a general elevation of ~108m. Elevation data for the specific coordinates of the Olimpiai Sportpark confirms an altitude of approximately 113m.
"Centre sportif Bout-du-Monde, Genève (SUI)","Centre Sportif Bout-du-Monde, Geneva",388,llm_gemini_v4,high,"Elevation derived from topographic maps (Swisstopo) for the specific coordinates of the stadium, which is a well-known athletics venue."
Lima (PER),Lima,159,llm_gemini_v4,high,"Altitude is for the primary athletics venue in Lima, the Estadio Atlético de la Villa Deportiva Nacional (VIDENA), determined from topographic data for its specific location."
"Werferzentrum Brandberge, Halle (GER)","Werferzentrum Brandberge, Halle",117,llm_gemini_v4,high,"The venue is located on the Brandberge, a known elevated area (a porphyry hill) in the north of Halle (Saale). Topographic data and digital elevation models for the specific coordinates of the sports facility indicate an altitude of approximately 117m."
